[EM | EL]	[ PlayerData ]			<string>	Pilot Name 							(string)
[EM | EL]	[ PlayerShipData ]		<integer>	Fuel 								(integer)
[EM | EL]	[ PlayerData ]			<string>	Cash 								(string, includes commas)
[EM | EL]	[ PlayerShipData ]		<string>	Cargo Bay 1 						(string, cargo type and number, or will display 'Empty' if nothing)
[EM | EL]	[ PlayerShipData ]		<string>	Cargo Bay 2
[EM | EL]	[ PlayerShipData ]		<string>	Cargo Bay 3
[EM | EL]	[ PlayerShipData ]		<string>	Cargo Bay 4
[EM | EL]	[ PlayerShipData ]		<string>	Cargo Bay 5
[   | EL]	[ PlayerShipData ]		<string>	Cargo Bay 6
[   | EL]	[ PlayerShipData ]		<string>	Cargo Bay 7
[   | EL]	[ PlayerShipData ]		<string>	Cargo Bay 8
[   | EL]	[ PlayerShipData ]		<string>	Cargo Bay 9
[   | EL]	[ PlayerShipData ]		<string>	Cargo Bay 10
[EM | EL]	[ PlayerShipData ]		<integer>	Player Position X 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Player Position Y 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Player Position Z 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Player Position SX 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Player Position SY 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Player Position SZ 					(integer)
[EM | EL]	[ EnvironmentalData ]	<string>	Local System Name 					(string)
[EM | EL]	[ PlayerShipData ]		<integer>	Energy Level 						(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Front Shield level 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Right Shield level 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Left Shield level 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Rear Shield level 					(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Shield Level 						(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Engine Damage 						(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Weapon Damage 						(integer)
[EM | EL]	[ PlayerShipData ]		<integer>	Nav Damage 							(integer)
[EM | EL]	[ TargetShipData ]		<string>	Target Description 					(string)
[EM | EL]	[ TargetShipData ]		<string>	Target Threat Level 				(string)
[EM | EL]	[ TargetShipData ]		<integer>	Target Range 						(integer)
[EM | EL]	[ TargetShipData ]		<integer>	Target Front Shield level 			(integer)
[EM | EL]	[ TargetShipData ]		<integer>	Target Right Shield level 			(integer)
[EM | EL]	[ TargetShipData ]		<integer>	Target Left Shield level 			(integer)
